Chat ID,Title,Link,Type
-1002399831251,VOICES IGNITED,Private chat (ID: -1002399831251),Channel
7345058226,Jay (VI Admin: Technology and Logistics),https://t.me/laebel_v1,User
777000,Telegram,Private chat (ID: 777000),User
7961853563,MayDayIntake,https://t.me/May_Day2_Bot,User
74376339,Manybot,https://t.me/Manybot,User
93372553,BotFather,https://t.me/BotFather,User
8154157823,"Mayday (Admin, Head of Media/PR)",https://t.me/maybeitsmayday,User
6737545499,Kratos (Admin+TXRep),https://t.me/KratosVIAdmin,User
-1002354709307,VI Tech Team,Private chat (ID: -1002354709307),Channel
7897920148,Mayday,https://t.me/MayDqybot,User
-1002407112461,tedy,https://t.me/dtyhjtyh,Channel
983000232,Quiz Bot,https://t.me/QuizBot,User
6590383118,Bunny (Tx. State Rep.) TX. Rep,Private chat (ID: 6590383118),User
-1002306620723,FeedBot,Private chat (ID: -1002306620723),Channel
6404214401,Cosmic Alien (Admin),https://t.me/cosmicalien0,User
7153572834,Dreamer Alterity (Admin: Internal Comms) [Security] (OH State Rep),https://t.me/DreamerAlterity,User
6355302185,goddessmoon TX REP,https://t.me/goodessmoon,User
7097074804,squeaky wheel,Private chat (ID: 7097074804),User
6055060366,,Private chat (ID: 6055060366),User
8112912619,Ignis Solis (TX Rep),Private chat (ID: 8112912619),User
6356172668,Stoned Illuminati Market,https://t.me/SiMarketBot,User
7726829052,Anon (Media/DFW Media Lead),https://t.me/americaisanoligarchy,User
7993499604,TwinkBoyWife,https://t.me/FunnyBunnyBoi,User
7363542969,Saige Lee,Private chat (ID: 7363542969),User
8193007857,,Private chat (ID: 8193007857),User
7671942810,,Private chat (ID: 7671942810),User
7177068283,,Private chat (ID: 7177068283),User
7449382812,,Private chat (ID: 7449382812),User
7120559836,Ashley Ny,Private chat (ID: 7120559836),User
